,symbol,stock_val_10,stock_val_11,stock_val_12,stock_val_13,stock_val_14,stock_val_15,stock_val_16,rating,After Tax ROE,Capital Expenditures,Cost of Revenue,Depreciation,Earnings Before Tax,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Net Borrowings,Net Income,Total Assets,Total Liabilities & Equity,Total Revenue,For Year,Estimated Shares Outstanding
152,FFIV,132411772.06919998,98797722.793,128257432.6404,86598666.9531,56389134.4322,68133791.2973,53054352.3666,2,31.0,-63488000.0,337205000.0,56776000.0,549891000.0,123248000.0,555965000.0,83.0,1657829000.0,130961000.0,120148000.0,0.0,276375000.0,0.0,365855000.0,2306323000.0,2306323000.0,1995034000.0,2016,67376611.418
153,FIS,44960683.3585,25425358.0,74242770.1328,38289944.0,41170180.6619,52194778.2774,121492966.3938,3,7.0,-133300000.0,4393200000.0,680300000.0,1036900000.0,610700000.0,14744700000.0,33.0,2202000000.0,0.0,91100000.0,11497800000.0,0.0,1655800000.0,650800000.0,26268800000.0,26268800000.0,6595200000.0,2015,293153153.153
154,FISV,34743648.5933,25986576.8848,44983875.430800006,32495214.4497,57698610.81299999,89950909.0165,88754427.1649,3,27.0,-359000000.0,2909000000.0,417000000.0,1057000000.0,396000000.0,5200000000.0,45.0,2345000000.0,1000000.0,144000000.0,4288000000.0,0.0,414000000.0,712000000.0,9340000000.0,9340000000.0,5254000000.0,2015,234210526.316
155,FL,25929793.321599998,41591264.0,60324570.1219,30247055.2701,58505852.0,112019883.116,74469943.94950001,4,21.0,-228000000.0,4907000000.0,148000000.0,837000000.0,661000000.0,156000000.0,34.0,2505000000.0,0.0,-17000000.0,129000000.0,0.0,-2000000.0,541000000.0,3775000000.0,3775000000.0,7412000000.0,2015,139074550.129
156,FLIR,23264500.0,17882431.0,23623488.0,14736960.0,13757598.4258,13324829.0,14208193.6074,1,15.0,-68234000.0,803506000.0,49534000.0,305446000.0,272629000.0,596316000.0,48.0,753561000.0,0.0,16460000.0,93750000.0,0.0,-15000000.0,241686000.0,2406400000.0,2406400000.0,1557067000.0,2015,139702890.173
157,FLR,66816586.0168,46722450.0,94606647.22119999,74621526.9294,82462864.3601,39759240.842,35965696.0,2,14.0,-240220000.0,17019352000.0,250791000.0,726552000.0,892340000.0,111646000.0,6.0,1094696000.0,-65719000.0,0.0,986564000.0,558564000.0,-28425000.0,412512000.0,7625406000.0,7625406000.0,18114048000.0,2015,144741052.632
158,FLS,26776813.12295508,23409723.99995286,69847441.42735243,107776378.73439999,81853425.7362,24006641.141,23900069.5026,2,16.0,-181861000.0,3073712000.0,127087000.0,422196000.0,758427000.0,1223986000.0,33.0,1487318000.0,0.0,-101670000.0,1560562000.0,0.0,455809000.0,267669000.0,4980657000.0,4980657000.0,4561030000.0,2015,133168656.716
159,FMC,20284070.7461,18223272.2118,43503768.0,34311661.5453,53716556.0581,27344044.6988,33675824.5954,2,26.0,-108500000.0,2201100000.0,115700000.0,-130500000.0,1016400000.0,776100000.0,33.0,1075400000.0,66400000.0,-585500000.0,2036300000.0,2500000.0,66100000.0,489000000.0,6325900000.0,6325900000.0,3276500000.0,2015,133606557.377
160,FRT,27181984.000000004,35982375.0,27003591.2212,42450227.6744,41546100.1791,53268062.1876,62528400.440000005,3,13.0,-436846000.0,233417000.0,174796000.0,207750000.0,4490365000.0,0.0,69.0,510595000.0,8043000.0,-9995000.0,2627216000.0,41546000.0,109108000.0,210219000.0,4896559000.0,4896559000.0,744012000.0,2015,69150986.8421
161,FSLR,78305237.39829999,68026395.97,95891281.1073,153522005.19030002,87884296.059,99809871.975,66564287.00000001,3,10.0,-166438000.0,2659728000.0,257825000.0,519835000.0,1391895000.0,84985000.0,26.0,919267000.0,11088000.0,-34060000.0,251325000.0,417692000.0,139965000.0,546421000.0,7316331000.0,7316331000.0,3578995000.0,2015,100815682.657
162,FTR,64506008.0,130492245.00000001,41298576.0,31448880.000000004,43310978.0,45037480.0,68933748.0,3,3.0,-863000000.0,0.0,1511000000.0,-361000000.0,8493000000.0,7166000000.0,100.0,5576000000.0,-8444000000.0,102000000.0,15508000000.0,0.0,6305000000.0,-196000000.0,27084000000.0,27084000000.0,5576000000.0,2015,675862068.966
163,GD,103239702.54509999,66961207.0332,109578208.2543,103088898.2367,160932822.153,107827600.78500001,205845256.7688,2,28.0,-569000000.0,25339000000.0,482000000.0,4102000000.0,3466000000.0,11443000000.0,19.0,6130000000.0,500000000.0,-1897000000.0,2898000000.0,0.0,-500000000.0,2965000000.0,31997000000.0,31997000000.0,31469000000.0,2015,321235102.925
164,GGP,48270819.039137416,62357105.3062416,68696880.0,142063488.0,84862580.9832,98622641.3755,153074942.0,4,17.0,-1078891000.0,747276000.0,702764000.0,954855000.0,17832919000.0,0.0,69.0,1656630000.0,-389629000.0,-4858000.0,14422360000.0,3506040000.0,-1279000.0,1374561000.0,24073555000.0,24073555000.0,2403906000.0,0,
165,GILD,172161753.5012,201371507.0,313925287.178,501645456.64059997,1308234567.758,631951800.4904001,658697433.1984,4,98.0,-747000000.0,4006000000.0,1098000000.0,21659000000.0,2276000000.0,1172000000.0,88.0,28633000000.0,-11728000000.0,3501000000.0,21195000000.0,11601000000.0,9689000000.0,18108000000.0,51839000000.0,51839000000.0,32639000000.0,2015,1463864187.55
166,GIS,79490265.00000001,74661516.0,171012969.5382,96266408.0,134215616.0334,134860974.0,119691729.0,3,34.0,-729300000.0,10733600000.0,608100000.0,2551800000.0,3743600000.0,8741200000.0,35.0,5829500000.0,85000000.0,411300000.0,7057700000.0,0.0,-457900000.0,1697400000.0,21712300000.0,21712300000.0,16563100000.0,2016,599787985.866
167,GLW,91947744.0,108625726.0,160335838.0,91669644.0,143349188.0,135266523.3997,107297670.0,3,7.0,-1250000000.0,5458000000.0,1184000000.0,1486000000.0,12648000000.0,1380000000.0,40.0,3653000000.0,633000000.0,-146000000.0,3890000000.0,1975000000.0,1212000000.0,1339000000.0,28527000000.0,28527000000.0,9111000000.0,2015,1312745098.04
168,GM,227201360.1639,141310278.0,381804339.0,453693771.8991,419066621.99999994,221884627.95180002,266320444.00000003,2,24.0,-7874000000.0,134054000000.0,8017000000.0,7718000000.0,51401000000.0,0.0,12.0,18302000000.0,-18973000000.0,0.0,43549000000.0,27701000000.0,19551000000.0,9687000000.0,194338000000.0,194338000000.0,152356000000.0,2015,1585433715.22
169,GPC,19570808.0,32484960.5308,35077087.1034,27036750.650000002,63185352.99999999,47316800.4491,58174306.6089,3,22.0,-109544000.0,10724192000.0,141675000.0,1123681000.0,648217000.0,840582000.0,30.0,4555852000.0,0.0,331419000.0,250000000.0,0.0,-142967000.0,705672000.0,8144771000.0,8144771000.0,15280044000.0,2015,151757419.355
170,GPN,14509939.686,20487112.4324,17191349.6205,16858405.4812,25316928.9408,87591680.7156,65321754.7644,3,10.0,-91591000.0,1147639000.0,187881000.0,360912000.0,493678000.0,4829405000.0,60.0,1750511000.0,0.0,-81506000.0,4379744000.0,0.0,2180613000.0,271666000.0,10509952000.0,10509952000.0,2898150000.0,2016,132520000.0
171,GPS,119451936.6047,56518136.9532,141526884.5595,112511325.758,117895369.79969999,84735823.4306,106883968.7631,2,36.0,-726000000.0,10077000000.0,527000000.0,1471000000.0,2850000000.0,0.0,36.0,5720000000.0,0.0,-83000000.0,1310000000.0,0.0,379000000.0,920000000.0,7473000000.0,7473000000.0,15797000000.0,2015,410714285.714
172,GRMN,26493351.0,43842754.1013,24144375.0,32018907.3068,33731956.277,42630270.706199996,35843809.4784,4,14.0,-80592000.0,1281566000.0,78360000.0,567187000.0,446089000.0,0.0,55.0,1538704000.0,3220000.0,-158273000.0,0.0,1343387000.0,0.0,456227000.0,4499391000.0,4499391000.0,2820270000.0,2015,190889958.159
173,GT,16485720.0,23904790.0,49057263.0,53645805.0,64082510.0,68456713.8092,59560579.9294,5,8.0,-983000000.0,12164000000.0,721000000.0,608000000.0,6777000000.0,555000000.0,26.0,4279000000.0,-8000000.0,116000000.0,5074000000.0,0.0,-477000000.0,307000000.0,16391000000.0,16391000000.0,16443000000.0,2015,269298245.614
174,GWW,25066965.181500003,40807420.436,76070881.1205,61428509.519,113451538.55489999,100099717.02360001,74273550.0,3,34.0,-373868000.0,5741956000.0,227967000.0,1250705000.0,1431241000.0,582336000.0,42.0,4231428000.0,-20382000.0,-67954000.0,1388414000.0,0.0,1555556000.0,768996000.0,5857755000.0,5857755000.0,9973384000.0,2015,65782378.1009
175,HAL,178692503.753,329542872.9016,300824733.3282,273557725.0,476302056.2208,210860786.19449997,250885647.00000003,2,4.0,-2184000000.0,21113000000.0,1835000000.0,-936000000.0,12117000000.0,2385000000.0,11.0,2520000000.0,0.0,-603000000.0,14687000000.0,0.0,7432000000.0,-671000000.0,36942000000.0,36942000000.0,23633000000.0,2015,849367088.608
